agent_id,entry_time,transcript,total_rewards,attachment
0,1,0,23,24.0
1,2,0,12,13.0
2,3,1,17,18.0
3,4,0,0,1.0
4,5,1,23,24.0
5,6,1,0,1.0
6,7,0,0,1.0
7,8,1,2,3.0
8,9,0,1,2.0
9,10,0,0,1.0
10,11,0,7,8.0
11,12,0,0,1.0
12,13,0,0,1.0
13,14,1,0,1.0
14,15,1,1,2.0
15,16,0,0,1.0
16,17,1,0,1.0
17,18,1,1,2.0
18,19,1,0,1.0
19,20,1,0,1.0
20,21,1,0,1.0
21,22,0,0,1.0
22,23,0,0,1.0
23,24,1,0,1.0
24,25,0,0,1.0
25,26,1,0,1.0
26,27,0,1,2.0
27,28,0,0,1.0
28,29,1,0,1.0
29,30,1,0,1.0
30,31,0,0,1.0
31,32,0,0,1.0
32,33,0,0,1.0
33,34,0,1,2.0
34,35,1,0,1.0
35,36,1,1,2.0
36,37,0,0,1.0
37,38,1,0,1.0
38,39,1,0,1.0
39,40,0,0,1.0
40,41,0,0,1.0
41,42,0,2,3.0
42,43,1,0,1.0
43,44,0,0,1.0
44,45,1,2,3.0
45,46,1,1,2.0
46,47,1,0,1.0
47,48,1,1,2.0
48,49,1,1,2.0
49,50,1,0,1.0
50,51,0,0,1.0
51,52,1,0,1.0
52,53,0,0,1.0
53,54,1,0,1.0
54,55,1,0,1.0
55,56,1,0,1.0
56,57,1,0,1.0
57,58,1,0,1.0
58,59,0,0,1.0
59,60,1,0,1.0
60,61,0,0,1.0
61,62,1,1,2.0
62,63,1,0,1.0
63,64,1,0,1.0
64,65,1,0,1.0
65,66,1,1,2.0
66,67,0,0,1.0
67,68,0,0,1.0
68,69,0,0,1.0
69,70,0,0,1.0
70,71,1,0,1.0
71,72,0,0,1.0
72,73,1,0,1.0
73,74,1,0,1.0
74,75,1,0,1.0
75,76,0,0,1.0
76,77,1,0,1.0
77,78,1,0,1.0
78,79,1,0,1.0
79,80,0,0,1.0
80,81,1,0,1.0
81,82,1,0,1.0
82,83,0,0,1.0
83,84,0,0,1.0
84,85,1,0,1.0
85,86,1,1,2.0
86,87,1,0,1.0
87,88,1,0,1.0
88,89,1,0,1.0
89,90,0,0,1.0
90,91,0,0,1.0
91,92,0,0,1.0
92,93,0,0,1.0
93,94,1,0,1.0
94,95,0,0,1.0
95,96,0,0,1.0
96,97,1,0,1.0
97,98,1,0,1.0
98,99,0,0,1.0
99,100,1,0,1.0
