time_step,winner_agent_id
1,0
2,0
3,2
4,2
5,1
6,4
7,4
8,0
9,0
10,2
11,1
12,7
13,0
14,0
15,4
16,14
17,1
18,0
19,2
20,4
21,10
22,1
23,10
24,1
25,0
26,0
27,4
28,10
29,4
30,0
31,2
32,10
33,4
34,1
35,2
36,2
37,0
38,1
39,4
40,10
41,2
42,0
43,0
44,2
45,2
46,4
47,2
48,4
49,0
50,41
51,4
52,44
53,7
54,1
55,35
56,0
57,4
58,26
59,8
60,4
61,4
62,2
63,4
64,0
65,4
66,44
67,2
68,0
69,2
70,0
71,2
72,4
73,1
74,4
75,0
76,41
77,4
78,4
79,4
80,10
81,47
82,0
83,2
84,17
85,65
86,4
87,61
88,0
89,85
90,10
91,48
92,2
93,4
94,0
95,1
96,1
97,33
98,0
99,45
100,1
